Priority,NameIntent,Text,AudioRU_M,AudioKZ_M,AudioRU_F,AudioKZ_F,Intents,Next_audio,Duration_waiting,Finished,Language,BadRU_M,BadKZ_M,BadRU_F,BadKZ_F,OtherRU_M,OtherKZ_M,OtherRU_F,OtherKZ_F,Interrupting_strategy,reload_template,repeat,asr
0,utter_hello_start,Здравствуйте! Меня зовут Айдос. Чем могу вам помочь?,-,-,1_testtest_F_R,1_testtest_F_K,-,146,6,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
1,utter_langDetectRU,Меня зовут Айдос,-,-,2_testtest_F_R,2_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
2,utter_langDetectKZ,Менің есімім Айдос,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
3,utter_q1RU,Чем я могу Вам помочь? / По какому вопросу Вы обращаетесь?,-,-,"3_testtest_F_R, 4_testtest_F_R","3_testtest_F_K, 4_testtest_F_K",-,146,6,-,AudioRU,-,-,5_testtest_F_R,5_testtest_F_K,-,-,5_testtest_F_R,5_testtest_F_K,ASR,no,3,default_kz
4,utter_q1KZ,Мен сізге қандай көмек көрсете аламын? / Қандай сұрақ бойынша хабарласып тұрсыз?,-,-,-,-,-,146,6,-,AudioKZ,-,-,5_testtest_F_R,5_testtest_F_K,-,-,5_testtest_F_R,5_testtest_F_K,ASR,no,3,default_kz
5,utter_q2RU,Скажите я могу еще чем-то Вам помочь? / У Вас будут еще вопросы?,-,-,"6_testtest_F_R, 7_testtest_F_R","6_testtest_F_K, 7_testtest_F_K",-,146,6,-,AudioRU,-,-,8_testtest_F_R,8_testtest_F_K,-,-,8_testtest_F_R,8_testtest_F_K,ASR,no,3,default_kz
6,utter_q2KZ,Айтыңызшы сізге тағы қандай көмек көрсете аламын? / Сізде басқа сұрақтар бар ма?,-,-,-,-,-,146,6,-,AudioKZ,-,-,8_testtest_F_R,8_testtest_F_K,-,-,8_testtest_F_R,8_testtest_F_K,ASR,no,3,default_kz
7,utter_q3RU,"Ммм секундочку… сейчас лучше? / Так а сейчас меня слышно? / Ааа, сейчас как, слышно меня?",-,-,"9_testtest_F_R, 10_testtest_F_R, 11_testtest_F_R","9_testtest_F_K, 10_testtest_F_K, 11_testtest_F_K",-,146,6,-,AudioRU,-,-,12_testtest_F_R,12_testtest_F_K,-,-,12_testtest_F_R,12_testtest_F_K,ASR,no,3,default_kz
8,utter_q3KZ,"Ммм күте тұрыңыз… Енді естіліп тұрмын ба? / Қазір мені естіп тұрсыз ба? / Ааа... қазір қалай, мен естіліп тұрмын ба?",-,-,-,-,-,146,6,-,AudioKZ,-,-,12_testtest_F_R,12_testtest_F_K,-,-,12_testtest_F_R,12_testtest_F_K,ASR,no,3,default_kz
9,utter_q4RU,"Здравствуйте, слушаю вас",-,-,13_testtest_F_R,13_testtest_F_K,-,146,6,-,AudioRU,-,-,14_testtest_F_R,14_testtest_F_K,-,-,14_testtest_F_R,14_testtest_F_K,ASR,no,3,default_kz
10,utter_q4KZ,"Сәлеметсіз бе, тыңдап тұрмын",-,-,-,-,-,146,6,-,AudioKZ,-,-,14_testtest_F_R,14_testtest_F_K,-,-,14_testtest_F_R,14_testtest_F_K,ASR,no,3,default_kz
11,utter_q5RU,"Я вас слушаю, чем могу Вам помочь?",-,-,15_testtest_F_R,15_testtest_F_K,-,146,6,-,AudioRU,-,-,16_testtest_F_R,16_testtest_F_K,-,-,16_testtest_F_R,16_testtest_F_K,ASR,no,3,default_kz
12,utter_q5KZ,"Мен сізді тыңдап тұрмын, қандай сұрағыңыз бар?",-,-,-,-,-,146,6,-,AudioKZ,-,-,16_testtest_F_R,16_testtest_F_K,-,-,16_testtest_F_R,16_testtest_F_K,ASR,no,3,default_kz
13,!Oper,"Пожалуйста, оставайтесь на линии, пока я соединю вас с другим специалистом",-,-,17_testtest_F_R,17_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
14,!Oper,Мен сізді басқа маманға қосқанға дейін желіде болыңыз,-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
15,!Oper,"Мммм.... извините, Вас очень плохо слышно, я соединю Вас с другим специалистом, побудьте на линии.",-,-,18_testtest_F_R,18_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
16,!Oper,"Мммм.... кешіріңіз, сізді өте нашар естіп тұрмын, мен Сізді басқа маманға қосамын, желіде бола тұрыңыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
17,utter_justOperatorRU,Я и есть оператор,-,-,19_testtest_F_R,19_testtest_F_K,-,146,6,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
18,utter_justOperatorKZ,Мен оператормын,-,-,-,-,-,146,6,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
19,!Oper,"Мхм, тогда я сейчас переведу звонок на нужного специалиста, пожалуйста ожидайте на линии.",-,-,20_testtest_F_R,20_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
20,!Oper,"Мхм, онда мен қазір қоңырауды тиісті маманға аударамын, желіде күте тұрыңыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,NoOp,no,3,default_kz
21,utter_q7RU,"Я попробую вам помочь, задайте свой вопрос, пожалуйста?",-,-,21_testtest_F_R,21_testtest_F_K,-,146,6,-,AudioRU,-,-,22_testtest_F_R,22_testtest_F_K,-,-,22_testtest_F_R,22_testtest_F_K,ASR,no,3,default_kz
22,utter_q7KZ,"Мен сізге көмектесуге тырысамын, өтінемін, сұрағыңызды қойыңыз",-,-,-,-,-,146,6,-,AudioKZ,-,-,22_testtest_F_R,22_testtest_F_K,-,-,22_testtest_F_R,22_testtest_F_K,ASR,no,3,default_kz
23,utter_robotFirstRU,"Интересно, почему Вы так подумали... Я консультант Банка. Давайте вернёмся к нашему разговору",-,-,23_testtest_F_R,23_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
24,utter_robotFirstKZ,"Қызық, не себепті бұлай ойладыңыз ... Мен Банк кеңесшісімін. Әңгімемізге қайта оралайық",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
25,utter_robotSecondRU,"Да, вы первый кто догадался (с улыбкой), я интеллектуальный менеджер Банка, а теперь вернемся к нашему разговору",-,-,24_testtest_F_R,24_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
26,utter_robotSecondKZ,"Ия, сіз бұны байқаған бірінші адамсыз, мен Банктің интеллектуалды менеджерімін, ал енді әңгімемізге қайта оралайық",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
27,utter_robotThirdRU,"Да, вы верно поняли, ыыыы",-,-,25_testtest_F_R,25_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
28,utter_robotThirdKZ,"Иә, Сіз дұрыс түсіндіңіз, ыыыы",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
29,utter_soundLesslyRU,"Угу, постараюсь погромче говорить.",-,-,26_testtest_F_R,26_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
30,utter_soundLesslyKZ,"Угу, қаттырақ сөйлеуге тырысамын",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
31,utter_understoodRU,"Поняла Вас,",-,-,27_testtest_F_R,27_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
32,utter_understoodKZ,"Мен сізді түсіндім,",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
33,utter_q8RU,"Давайте подскажу как открыть онлайн карту в приложении, согласны?",-,-,28_testtest_F_R,28_testtest_F_K,-,146,6,-,AudioRU,-,-,29_testtest_F_R,29_testtest_F_K,-,-,29_testtest_F_R,29_testtest_F_K,ASR,no,3,default_kz
34,utter_q8KZ,"Енді, Қосымшада онлайн картаны қалай ашуға болатынын айтайын, жарай ма?",-,-,-,-,-,146,6,-,AudioKZ,-,-,29_testtest_F_R,29_testtest_F_K,-,-,29_testtest_F_R,29_testtest_F_K,ASR,no,3,default_kz
35,utter_openCardOptionsRU,"Смотрите, вы можете открыть онлайн карту в приложении Halyk, а другие виды карт можно заказать в любом отделении Банка.",-,-,30_testtest_F_R,30_testtest_F_K,-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
36,utter_openCardOptionsKZ,"Қараңыз, сіз онлайн картаны Halyk қосымшасында аша аласыз, ал карталардың басқа түрлеріне Банктің кез келген бөлімшесінде тапсырыс беруге болады.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
37,utter_instructionsRU,"Отлично, для этого зайдите в приложение Halyk, в разделе ""Счета"" выберете ""Открыть новую карту"" и далее следуйте инструкции на экране. Как откроете карту она активируется в течении дня. / Отлично, для этого в приложении Halyk, зайдите в раздел «Счета», выберите «Карты», нажмите на «Закрыть карту» (короткая пауза) / Отлично, для начала зайдите в приложение Halyk, в разделе ""Счета"" выберите карту и нажмите на "" Заказать карту"", далее ""Открыть дополнительную карту"" и заполните нужные поля (короткая пауза) / Отлично, для начала зайдите в приложение Halyk, в раздел ""Гос. услуги"" , нажмите ""Реквизиты"", после ""История"", и там можете проверить статус заявки. (короткая пауза)",-,-,"31_testtest_F_R, 32_testtest_F_R, 33_testtest_F_R, 34_testtest_F_R","31_testtest_F_K, 32_testtest_F_K, 33_testtest_F_K, 34_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
38,utter_instructionsKZ,"Өте жақсы, ол үшін Halyk қосымшасына кіріңіз, ""Шоттар"" бөлімінде ""Жаңа карта ашу"" батырмасын таңдаңыз, ал әрі қарай экрандағы нұсқауларды орындаңыз. Картаны ашқаннан кейін ол үш күннің ішінде іске қосылады. / Тамаша, ол үшін Halyk қосымшасында ""Шоттар"" бөліміне өтіп, ""Карталар"" тармағын таңдап,""Картаны жабу"" батырмасын басыңыз / Өте жақсы, алдымен Halyk қосымшасына кіріңіз, ""Шоттар"" бөлімінде картаны таңдаңыз және ""Картаға тапсырыс беру"" батырмасын басыңыз, әрі қарай ""Қосымша қарта ашу"" батырмасын басып, қажетті жолдарды толтырыңыз. / Өте жақсы, алдымен Halyk қосымшасына кіріп, Мемлекеттік қызметтер бөлімінде, Деректемелер батырмасын басыңыз, сосын Тарих тармағына өтіп, сол жерден өтінімнің мәртебесін тексере аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
39,utter_repeatInstructionsRU,"Конечно, (короткая пауза) Зайдите в приложение Halyk, в разделе ""Счета"" выберете ""Открыть новую карту"" и далее следуйте инструкции на экране. Как откроете карту она активируется в течении дня (короткая пауза) / Конечно, (короткая пауза) Зайдите в приложение Halyk, перейдите в раздел «Счета», выберите «Карты», нажмите на «Закрыть карту» (короткая пауза) / Конечно, (короткая пауза) В приложении Halyk, зайдите в раздел ""счета"" выберите карту, которую хотите перевыпустить, нажмите на ""заказать карту"" далее ""Открыть дополнительную карту"" и следуйте инструкции на экране. (короткая пауза) / Конечно, для начала зайдите в приложение Halyk, в раздел ""Гос. услуги"" , нажмите ""Реквизиты"", после ""История"", и там можете проверить статус заявки.",-,-,"35_testtest_F_R, 36_testtest_F_R, 37_testtest_F_R, 38_testtest_F_R","35_testtest_F_K, 36_testtest_F_K, 37_testtest_F_K, 38_testtest_F_K",-,-,0,-,AudioRU,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
40,utter_repeatInstructionsKZ,"Әрине, Halyk қосымшасына кіріңіз, ""Шоттар"" бөлімінде ""Жаңа карта ашу"" батырмасын таңдаңыз, ал әрі қарай экрандағы нұсқауларды орындаңыз. Картаны ашқаннан кейін ол бір күн ішінде іске қосылады. / Әрине, Halyk қосымшасына кіріңіз, ""Шоттар"" бөлімінде, ""Карталар"" тармағын таңдап,, Картаны жабу батырмасын басыңыз. / Әрине, Халық қосымшасында, Шоттар бөліміне өтіп, қайта шығарғыңыз келетін картаны таңдаңыз.  ""Картаға тапсырыс беру"" батырмасын басып , сосын ""Қосымша қарта ашу"" батырмасын басыңыз, әрі қарай экрандағы нұсқауларды орындаңыз. / Әрине, алдымен Halyk қосымшасына кіріп, Мемлекеттік қызметтер бөлімінде, Деректемелер батырмасын басыңыз, сосын Тарих тармағына өтіп, сол жерден өтінімнің мәртебесін тексере аласыз.",-,-,-,-,-,-,0,-,AudioKZ,-,-,-,-,-,-,-,-,ASR,no,3,default_kz
41,utter_q10RU,"Скажите, как только откроете карту, хорошо? / Скажите, как только закроете карту, хорошо? / Скажите, как перевыпустите, хорошо? / скажите как проверите, хорошо?",-,-,"39_testtest_F_R, 40_testtest_F_R, 41_testtest_F_R, 42_testtest_F_R","39_testtest_F_K, 40_testtest_F_K, 41_testtest_F_K, 42_testtest_F_K",-,146,6,-,AudioRU,-,-,43_testtest_F_R,43_testtest_F_K,-,-,43_testtest_F_R,43_testtest_F_K,ASR,no,3,default_kz
42,utter_q10KZ,"Картаны ашқан кезде айтыңыз, жарай ма? / Картаны жапқан кезде айтыңыз, жарай ма? / Картаны қайта шығарғаннан кейін айтыңыз, жарай ма? / тексеріп болғаннан кейін айтыңыз, жарай ма?",-,-,-,-,-,146,6,-,AudioKZ,-,-,43_testtest_F_R,43_testtest_F_K,-,-,43_testtest_F_R,43_testtest_F_K,ASR,no,3,default_kz
